CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary
722,1,0,29.0,9,0.0,2,1.0,1.0,142033.07
475,0,0,45.0,0,134264.04,1,1.0,0.0,27822.99
490,1,1,31.0,3,145260.23,1,0.0,1.0,114066.77
804,1,1,33.0,7,76548.6,1,0.0,1.0,98453.45
850,0,1,36.0,7,0.0,1,1.0,1.0,40812.9
582,2,1,41.0,6,70349.48,2,0.0,1.0,178074.04
472,1,1,40.0,4,0.0,1,1.0,0.0,70154.22
465,0,0,51.0,8,122522.32,1,0.0,0.0,181297.65
556,0,0,61.0,2,117419.35,1,1.0,1.0,94153.83
834,0,0,49.0,2,131394.56,1,0.0,0.0,194365.76
660,1,0,61.0,5,155931.11,1,1.0,1.0,158338.39
776,2,0,32.0,4,109421.13,2,1.0,1.0,126517.46
829,2,0,27.0,9,112045.67,1,1.0,1.0,119708.21
637,2,0,39.0,9,137843.8,1,1.0,1.0,117622.8
550,2,1,38.0,2,103391.38,1,0.0,1.0,90878.13
776,2,0,37.0,2,103769.22,2,1.0,0.0,194099.12
698,2,1,44.0,10,116363.37,2,1.0,0.0,198059.16
585,2,1,36.0,5,146050.97,2,0.0,0.0,86424.57
788,0,0,33.0,5,0.0,2,0.0,0.0,116978.19
655,2,1,41.0,8,125561.97,1,0.0,0.0,164040.94
601,2,1,42.0,1,98495.72,1,1.0,0.0,40014.76
619,0,1,43.0,1,125211.92,1,1.0,1.0,113410.49
656,0,1,45.0,5,127864.4,1,1.0,0.0,87107.57
725,2,1,19.0,0,75888.2,1,0.0,0.0,45613.75
511,1,0,66.0,4,0.0,1,1.0,0.0,1643.11
614,0,1,51.0,4,40685.92,1,1.0,1.0,46775.28
742,2,1,35.0,5,136857.0,1,0.0,0.0,84509.57
687,2,0,27.0,9,152328.88,2,0.0,0.0,126494.82
555,1,1,33.0,1,56084.69,2,0.0,0.0,178798.13
684,1,1,56.0,8,78707.16,1,1.0,1.0,99398.36
603,2,1,26.0,4,109166.37,1,1.0,1.0,92840.67
751,2,0,36.0,6,169831.46,2,1.0,1.0,27758.36
581,2,0,34.0,1,101633.04,1,1.0,0.0,110431.51
735,2,1,43.0,10,123180.01,2,1.0,1.0,196673.28
661,2,0,35.0,5,150725.53,2,0.0,1.0,113656.85
675,0,0,21.0,8,98373.26,1,1.0,0.0,18203.0
738,2,1,58.0,2,133745.44,4,1.0,0.0,28373.86
813,0,1,29.0,6,0.0,1,1.0,0.0,33953.87
657,1,0,37.0,0,163607.18,1,0.0,1.0,44203.55
604,2,0,25.0,5,157780.84,2,1.0,1.0,58426.81
519,0,1,36.0,9,0.0,2,0.0,1.0,145562.4
735,0,0,21.0,1,178718.19,2,1.0,0.0,22388.0
664,0,1,55.0,8,0.0,2,1.0,1.0,139161.64
678,0,0,32.0,9,0.0,1,1.0,1.0,148210.64
757,1,1,33.0,5,77253.22,1,0.0,1.0,194239.63
416,2,0,41.0,10,122189.66,2,1.0,0.0,98301.61
665,0,0,34.0,1,96645.54,2,0.0,0.0,171413.66
777,0,0,32.0,2,0.0,1,1.0,0.0,136458.19
543,0,0,36.0,3,0.0,2,0.0,0.0,26019.59
506,0,0,34.0,4,90307.62,1,1.0,1.0,159235.29
493,0,0,46.0,4,0.0,2,1.0,0.0,1907.66
652,1,0,75.0,10,0.0,2,1.0,1.0,114675.75
750,1,1,22.0,3,121681.82,1,1.0,0.0,128643.35
729,0,1,30.0,9,0.0,2,1.0,0.0,151869.35
646,0,0,46.0,4,0.0,3,1.0,0.0,93251.42
635,2,0,28.0,3,81623.67,2,1.0,1.0,156791.36
647,1,0,44.0,5,0.0,3,1.0,1.0,174205.22
808,0,1,45.0,7,118626.55,2,1.0,0.0,147132.46
524,0,0,36.0,10,0.0,2,1.0,0.0,109614.57
769,0,1,29.0,8,0.0,2,1.0,1.0,172290.61
730,1,1,42.0,4,0.0,2,0.0,1.0,85982.47
515,1,1,35.0,10,176273.95,1,0.0,1.0,121277.78
773,1,1,41.0,9,102827.44,1,0.0,1.0,64595.25
814,2,1,29.0,8,97086.4,2,1.0,1.0,197276.13
710,1,1,22.0,8,0.0,2,0.0,0.0,99645.04
413,0,1,34.0,9,0.0,2,0.0,0.0,6534.18
665,0,0,40.0,6,0.0,1,1.0,1.0,161848.03
623,0,0,44.0,6,0.0,2,0.0,0.0,167162.43
738,0,1,31.0,9,82674.15,1,1.0,0.0,41970.72
528,1,1,36.0,7,0.0,2,1.0,0.0,60536.56
670,1,0,65.0,1,0.0,1,1.0,1.0,177655.68
622,1,0,46.0,4,107073.27,2,1.0,1.0,30984.59
582,2,1,32.0,1,88938.62,1,1.0,1.0,10054.53
785,2,0,36.0,2,99806.85,1,0.0,1.0,36976.52
605,1,1,33.0,5,150092.8,1,0.0,0.0,71862.79
479,2,1,35.0,9,92833.89,1,1.0,0.0,99449.86
685,2,1,30.0,3,90536.81,1,0.0,1.0,63082.88
538,2,1,39.0,7,108055.1,2,1.0,0.0,27231.26
562,0,1,42.0,2,100238.35,1,0.0,0.0,86797.41
675,1,1,36.0,9,106190.55,1,0.0,1.0,22994.32
721,2,1,28.0,9,154475.54,2,0.0,1.0,101300.94
628,2,0,30.0,9,132351.29,2,1.0,1.0,74169.13
668,2,0,37.0,6,167864.4,1,1.0,0.0,115638.29
506,0,0,41.0,1,0.0,2,1.0,0.0,31766.3
524,2,0,31.0,8,107818.63,1,1.0,0.0,199725.39
699,2,1,34.0,4,185173.81,2,1.0,0.0,120834.48
828,0,1,34.0,8,129433.34,2,0.0,0.0,38131.77
674,1,1,39.0,6,120193.42,1,0.0,0.0,100130.95
656,0,0,39.0,6,0.0,2,1.0,0.0,141069.88
684,2,0,48.0,10,126384.42,1,1.0,1.0,198129.36
625,0,0,28.0,3,0.0,1,0.0,0.0,183646.41
432,0,1,42.0,9,152603.45,1,1.0,0.0,110265.24
549,0,0,52.0,1,0.0,1,0.0,1.0,8636.05
625,2,1,56.0,0,148507.24,1,1.0,0.0,46824.08
828,0,0,41.0,7,0.0,2,1.0,0.0,171378.77
770,0,1,24.0,9,101827.07,1,1.0,0.0,167256.35
758,0,0,34.0,3,0.0,2,1.0,1.0,124226.16
795,2,0,33.0,9,130862.43,1,1.0,1.0,114935.21
687,0,1,38.0,9,122570.87,1,1.0,1.0,35608.88
686,0,1,25.0,1,0.0,2,0.0,1.0,16459.37
789,2,1,39.0,7,124828.46,2,1.0,1.0,124411.08
589,2,0,50.0,5,144895.05,2,1.0,1.0,34941.23
461,2,0,34.0,5,63663.93,1,0.0,1.0,167784.28
637,0,1,40.0,2,133463.1,1,0.0,1.0,93165.34
584,1,0,48.0,2,213146.2,1,1.0,0.0,75161.25
579,1,0,35.0,1,129490.36,2,0.0,1.0,8590.83
756,2,1,44.0,10,137452.09,1,1.0,0.0,189543.9
663,0,1,34.0,7,0.0,2,1.0,1.0,180427.24
682,0,0,43.0,5,125851.93,1,1.0,1.0,193318.33
793,1,1,52.0,2,0.0,1,1.0,0.0,159123.82
691,0,0,31.0,5,40915.55,1,1.0,0.0,126213.84
485,1,0,21.0,5,113157.22,1,1.0,1.0,54141.5
635,1,0,29.0,8,138296.94,2,1.0,0.0,141075.51
650,0,1,37.0,5,106967.18,1,0.0,0.0,24495.03
735,0,1,44.0,9,120681.63,1,1.0,0.0,74836.34
416,0,1,32.0,0,0.0,2,0.0,1.0,878.87
754,1,0,32.0,7,0.0,2,1.0,0.0,89520.75
535,0,0,48.0,9,0.0,1,1.0,0.0,149892.79
716,1,1,42.0,8,0.0,2,1.0,0.0,180800.42
539,0,1,37.0,2,127609.59,1,1.0,0.0,98646.22
614,0,0,43.0,6,0.0,2,1.0,1.0,109041.53
706,1,1,57.0,7,0.0,1,1.0,0.0,17941.16
758,0,0,33.0,7,0.0,2,0.0,0.0,82996.47
586,1,0,28.0,2,0.0,2,1.0,1.0,92067.35
646,0,0,73.0,6,97259.25,1,0.0,1.0,104719.66
631,2,0,33.0,4,123246.7,1,0.0,0.0,112687.57
717,1,0,22.0,6,101060.25,1,0.0,1.0,84699.56
684,0,1,30.0,2,0.0,2,1.0,0.0,83473.82
800,0,0,49.0,7,108007.36,1,0.0,0.0,47125.11
721,1,0,36.0,2,0.0,2,1.0,1.0,106977.8
683,1,1,29.0,0,133702.89,1,1.0,0.0,55582.54
660,2,1,31.0,9,125189.75,2,1.0,1.0,139874.43
704,2,0,24.0,7,113034.22,1,1.0,0.0,162503.48
615,1,0,41.0,9,109013.23,1,1.0,0.0,196499.96
667,1,0,39.0,2,0.0,2,1.0,0.0,40721.24
682,2,1,24.0,9,57929.81,2,0.0,0.0,53134.3
484,0,0,29.0,4,130114.39,1,1.0,0.0,164017.89
628,2,1,27.0,5,95826.49,2,1.0,0.0,155996.96
480,2,1,44.0,10,129608.57,1,1.0,0.0,5472.7
578,0,1,30.0,4,169462.09,1,1.0,0.0,112187.11
512,0,1,40.0,5,0.0,2,1.0,1.0,146457.83
484,1,0,35.0,7,133868.21,1,1.0,1.0,27286.1
510,0,0,30.0,0,0.0,2,1.0,1.0,130553.47
606,2,1,36.0,5,190479.48,2,0.0,0.0,179351.89
597,1,0,40.0,8,101993.12,1,0.0,1.0,94774.12
754,2,0,55.0,3,161608.81,1,1.0,0.0,8080.85
850,1,0,45.0,2,122311.21,1,1.0,1.0,19482.5
510,0,1,65.0,2,0.0,2,1.0,1.0,48071.61
778,2,0,45.0,1,162150.42,2,1.0,0.0,174531.27
636,0,1,42.0,2,0.0,2,1.0,1.0,55470.78
804,0,0,50.0,4,0.0,1,1.0,1.0,8546.87
514,0,1,32.0,8,0.0,2,1.0,0.0,95857.18
730,0,0,39.0,1,99010.67,1,1.0,0.0,194945.8
525,1,0,37.0,0,0.0,1,0.0,1.0,131521.72
616,1,1,30.0,5,0.0,2,0.0,1.0,196108.51
687,2,0,34.0,7,111388.18,2,1.0,0.0,148564.76
715,0,0,41.0,8,56214.85,2,0.0,0.0,92982.61
512,0,0,36.0,3,84327.77,2,1.0,0.0,17675.36
479,0,1,40.0,1,0.0,2,0.0,0.0,114996.43
601,0,1,32.0,8,93012.89,1,1.0,0.0,86957.42
580,1,1,29.0,9,61710.44,2,1.0,0.0,128077.8
807,0,1,35.0,3,174790.15,1,1.0,1.0,600.36
616,1,0,32.0,6,0.0,2,1.0,1.0,43001.46
721,2,1,37.0,3,107720.64,1,1.0,1.0,158591.12
501,0,1,57.0,10,0.0,2,1.0,1.0,47847.19
521,0,1,35.0,6,96423.84,1,1.0,0.0,10488.44
850,1,1,30.0,2,141040.01,1,1.0,1.0,5978.2
759,0,1,42.0,4,105420.18,1,0.0,1.0,121409.06
516,1,1,50.0,5,0.0,1,0.0,1.0,146145.93
711,0,0,38.0,2,129022.06,2,1.0,1.0,14374.86
512,1,1,33.0,3,176666.62,1,1.0,0.0,94670.77
550,0,1,37.0,3,0.0,1,1.0,1.0,179670.31
608,1,0,41.0,3,89763.84,1,0.0,0.0,199304.74
618,0,1,34.0,5,134954.53,1,1.0,1.0,151954.39
643,0,1,45.0,5,0.0,1,1.0,0.0,142513.5
671,0,1,45.0,2,106376.85,1,0.0,1.0,158264.62
689,2,1,33.0,2,161814.64,2,1.0,0.0,169381.9
603,0,1,31.0,8,0.0,2,1.0,1.0,169915.02
620,0,0,41.0,9,0.0,2,0.0,0.0,88852.47
676,0,0,34.0,1,63095.01,1,1.0,1.0,40645.81
572,2,1,26.0,4,118287.01,2,0.0,0.0,60427.3
668,2,1,47.0,7,106854.21,1,0.0,1.0,157959.02
695,0,1,46.0,7,49512.55,1,1.0,0.0,133007.34
730,1,0,33.0,9,0.0,2,0.0,0.0,176576.62
807,0,1,43.0,1,105799.32,2,1.0,0.0,34888.04
592,0,1,54.0,8,0.0,1,1.0,1.0,28737.71
726,0,0,31.0,9,114722.05,2,1.0,1.0,98178.57
514,1,1,30.0,7,0.0,1,0.0,1.0,125010.24
567,0,1,42.0,2,0.0,2,1.0,1.0,167984.61
850,0,1,33.0,10,0.0,1,1.0,0.0,4861.72
671,2,1,45.0,6,99564.22,1,1.0,1.0,108872.45
670,0,1,37.0,4,170557.91,2,1.0,0.0,198252.88
694,0,0,30.0,9,0.0,2,1.0,1.0,26960.31
547,2,0,39.0,6,74596.15,3,1.0,1.0,85746.52
751,2,1,50.0,2,96888.39,1,1.0,0.0,77206.25
594,2,0,29.0,3,130830.22,1,1.0,0.0,61048.53
673,0,1,72.0,1,0.0,2,0.0,1.0,111981.19
610,0,1,40.0,0,0.0,2,1.0,0.0,62232.6
512,0,0,37.0,1,0.0,2,0.0,1.0,156105.03
767,2,1,20.0,3,119714.25,2,0.0,1.0,150135.38
585,0,0,67.0,5,113978.97,2,0.0,1.0,93146.11
763,2,1,42.0,6,100160.75,1,1.0,0.0,33462.94
712,0,0,29.0,2,0.0,1,1.0,1.0,144375.0
539,2,0,43.0,3,116220.5,3,1.0,0.0,55803.96
668,0,0,46.0,2,0.0,3,1.0,0.0,89048.46
703,0,1,28.0,2,81173.83,2,0.0,1.0,162812.16
662,1,1,38.0,4,0.0,2,1.0,0.0,136259.65
725,2,0,39.0,5,116803.8,1,1.0,0.0,124052.97
703,0,1,37.0,8,105961.68,2,0.0,1.0,74158.8
659,2,1,67.0,6,117411.6,1,1.0,1.0,45071.09
523,1,1,34.0,7,0.0,2,1.0,0.0,62030.06
635,0,0,40.0,10,123497.58,1,1.0,0.0,131953.23
772,2,1,26.0,7,152400.51,2,1.0,0.0,79414.0
545,0,0,26.0,1,0.0,2,1.0,1.0,199638.56
634,2,1,24.0,8,103097.85,1,1.0,1.0,157577.29
739,2,1,54.0,8,126418.14,1,1.0,0.0,134420.75
771,2,0,36.0,5,77846.9,1,0.0,0.0,99805.99
587,1,0,34.0,1,0.0,2,1.0,1.0,97932.68
681,0,0,79.0,0,0.0,2,0.0,1.0,170968.99
544,2,1,37.0,2,79731.91,1,1.0,1.0,57558.95
696,1,1,28.0,8,0.0,1,0.0,0.0,176713.47
766,1,1,41.0,0,0.0,2,0.0,1.0,34283.23
727,0,1,34.0,10,0.0,2,1.0,1.0,198637.34
671,2,0,34.0,6,37266.67,2,0.0,0.0,156917.12
693,0,0,30.0,6,127992.25,1,1.0,1.0,50457.2
850,2,1,38.0,3,54901.01,1,1.0,1.0,140075.55
732,2,1,42.0,9,108748.08,2,1.0,1.0,65323.11
726,1,0,48.0,6,99906.19,1,1.0,0.0,64323.24
557,0,0,32.0,6,184686.41,2,1.0,0.0,14956.44
682,0,0,26.0,0,110654.02,1,0.0,1.0,111879.21
738,1,1,31.0,9,79019.8,1,1.0,1.0,18606.23
531,1,0,36.0,9,99240.51,1,1.0,0.0,123137.01
498,0,1,34.0,2,0.0,2,1.0,1.0,148528.24
651,0,1,36.0,7,0.0,2,1.0,0.0,13898.31
549,1,0,39.0,7,0.0,1,0.0,0.0,81259.25
791,2,0,35.0,7,52436.2,1,1.0,0.0,161051.75
650,1,1,41.0,9,0.0,2,0.0,1.0,191599.67
733,2,1,34.0,3,100337.96,3,1.0,0.0,48559.19
811,2,0,34.0,1,149297.19,2,1.0,1.0,186339.74
707,0,1,30.0,8,0.0,2,1.0,0.0,33159.37
712,2,1,28.0,4,145605.44,1,0.0,1.0,93883.53
706,1,0,37.0,7,0.0,2,1.0,1.0,110899.3
756,0,1,62.0,3,0.0,1,1.0,1.0,11199.04
777,0,0,53.0,10,0.0,2,1.0,0.0,189992.97
646,0,1,35.0,6,84026.86,1,0.0,1.0,164255.69
714,0,1,46.0,1,0.0,1,1.0,0.0,152167.79
782,0,1,39.0,8,0.0,2,1.0,1.0,33949.67
775,1,1,29.0,10,0.0,2,1.0,1.0,68143.93
479,2,1,35.0,4,138718.92,1,1.0,1.0,47251.79
807,0,1,42.0,7,118274.71,1,1.0,1.0,25885.72
799,0,0,22.0,8,174185.98,2,0.0,1.0,192633.85
675,0,1,40.0,7,113208.86,2,1.0,0.0,34577.36
602,1,1,29.0,5,103907.28,1,1.0,0.0,161229.84
475,0,0,32.0,8,119023.28,1,1.0,0.0,100816.29
744,1,0,26.0,5,166297.89,1,1.0,1.0,181694.44
588,1,1,34.0,10,0.0,2,1.0,0.0,79078.91
703,2,1,42.0,9,63227.0,1,0.0,1.0,137316.32
747,1,0,41.0,5,94521.17,2,1.0,0.0,194926.86
583,0,1,27.0,7,0.0,2,1.0,0.0,51285.49
750,1,0,34.0,9,112822.26,1,0.0,0.0,150401.53
681,0,1,38.0,3,0.0,2,1.0,1.0,112491.96
773,0,1,25.0,2,135903.33,1,1.0,0.0,73656.38
714,0,0,31.0,4,125169.26,1,1.0,1.0,106636.89
687,1,0,44.0,7,0.0,3,1.0,0.0,155853.52
511,0,1,58.0,0,149117.31,1,1.0,1.0,162599.51
627,0,1,33.0,5,0.0,2,1.0,1.0,103737.82
694,0,0,31.0,10,0.0,2,1.0,0.0,160990.27
616,1,0,36.0,6,132311.71,1,0.0,0.0,15462.84
687,0,1,35.0,8,0.0,2,1.0,0.0,10334.05
712,0,0,33.0,6,0.0,2,1.0,1.0,190686.16
553,0,1,33.0,4,118082.89,1,0.0,0.0,94440.45
667,0,1,31.0,1,119266.69,1,1.0,1.0,28257.63
731,0,1,43.0,2,0.0,1,1.0,1.0,170034.95
629,2,1,35.0,7,156847.29,2,1.0,0.0,31824.29
614,0,1,50.0,4,137104.47,1,1.0,0.0,127166.49
438,2,1,31.0,8,78398.69,1,1.0,0.0,44937.01
652,0,0,80.0,4,0.0,2,1.0,1.0,188603.07
729,2,1,30.0,6,63669.42,1,1.0,0.0,145111.37
642,0,1,38.0,3,0.0,2,0.0,0.0,171463.83
806,2,0,59.0,0,135296.33,1,1.0,0.0,182822.5
744,1,1,36.0,2,153804.44,1,1.0,1.0,87213.33
474,1,1,37.0,3,0.0,2,0.0,0.0,57175.32
559,0,1,49.0,2,147069.78,1,1.0,0.0,120540.83
706,1,1,42.0,9,0.0,2,1.0,1.0,28714.34
628,1,0,22.0,3,0.0,1,1.0,0.0,85426.28
429,0,1,24.0,4,95741.75,1,1.0,0.0,46170.75
525,1,0,57.0,2,145965.33,1,1.0,1.0,64448.36
680,0,0,30.0,8,141441.75,1,1.0,1.0,16278.97
749,0,1,40.0,1,139290.41,1,1.0,0.0,182855.42
763,0,0,31.0,4,0.0,2,0.0,0.0,50404.72
734,0,1,30.0,3,0.0,2,1.0,0.0,107640.25
716,0,1,35.0,4,144428.87,1,1.0,0.0,134132.65
594,0,1,35.0,2,0.0,2,1.0,0.0,103480.69
644,0,0,46.0,9,95441.27,1,1.0,0.0,108761.05
671,2,1,35.0,1,144848.74,1,1.0,1.0,179012.3
664,2,1,26.0,7,116244.14,2,1.0,1.0,95145.14
656,0,1,50.0,7,0.0,2,0.0,1.0,72143.44
667,1,0,40.0,1,146502.07,1,1.0,0.0,19162.89
663,2,1,44.0,2,117028.6,2,0.0,1.0,144680.18
584,2,0,30.0,8,112013.81,1,1.0,0.0,177772.03
626,1,0,37.0,6,108269.37,1,1.0,0.0,5597.94
485,0,1,29.0,7,182123.79,1,1.0,0.0,116828.51
659,2,0,32.0,3,150923.74,2,0.0,1.0,174652.51
649,0,1,33.0,2,0.0,2,1.0,0.0,2010.98
805,1,0,39.0,5,165272.13,1,1.0,0.0,14109.85
716,2,0,39.0,10,115301.31,1,1.0,0.0,43527.4
642,2,0,40.0,6,129502.49,2,0.0,1.0,86099.23
659,0,1,31.0,4,118342.26,1,0.0,0.0,161574.19
545,1,0,47.0,5,0.0,2,1.0,1.0,38970.14
543,0,1,22.0,8,0.0,2,0.0,0.0,127587.22
718,0,0,25.0,7,0.0,2,1.0,0.0,30380.12
840,0,0,43.0,7,0.0,2,1.0,0.0,90908.95
630,2,0,34.0,9,106937.05,2,1.0,0.0,138275.01
643,2,1,59.0,3,170331.37,1,1.0,1.0,32171.79
654,2,0,32.0,1,114510.85,1,1.0,1.0,126143.23
582,0,1,39.0,5,0.0,2,1.0,1.0,129892.93
659,1,1,32.0,3,107594.11,2,1.0,1.0,102416.84
762,1,1,39.0,2,81273.13,1,1.0,1.0,18719.67
568,1,0,32.0,7,169399.6,1,1.0,0.0,61936.22
670,1,1,25.0,6,0.0,2,1.0,1.0,78358.94
613,0,0,45.0,1,187841.99,2,1.0,1.0,147224.27
539,0,1,30.0,0,0.0,2,1.0,0.0,160979.66
850,1,0,57.0,8,126776.3,2,1.0,1.0,132298.49
522,1,1,34.0,9,126436.29,1,1.0,0.0,174248.52
737,0,1,41.0,1,101960.74,1,1.0,1.0,123547.28
520,0,1,58.0,3,0.0,2,0.0,1.0,32790.02
706,1,1,28.0,3,0.0,2,0.0,1.0,181543.67
643,2,0,45.0,2,150842.93,1,0.0,1.0,2319.96
648,0,0,50.0,9,102535.57,1,1.0,1.0,189543.19
443,2,0,29.0,9,99027.61,2,1.0,0.0,10940.4
640,0,1,68.0,9,0.0,2,1.0,1.0,199493.38
628,1,0,33.0,3,0.0,1,1.0,1.0,188193.25
540,2,0,42.0,9,87271.41,2,1.0,0.0,172572.64
460,2,0,35.0,8,102742.91,2,1.0,1.0,189339.6
636,2,1,34.0,2,40105.51,2,0.0,1.0,53512.16
593,0,0,29.0,2,152265.43,1,1.0,0.0,34004.44
801,1,1,42.0,4,141947.67,1,1.0,1.0,10598.29
640,2,0,75.0,1,106307.91,2,0.0,1.0,113428.77
611,2,1,31.0,0,107884.81,2,1.0,1.0,183487.98
802,2,1,31.0,1,125013.72,1,1.0,1.0,187658.09
717,2,1,35.0,7,58469.37,2,1.0,1.0,172459.39
769,0,0,39.0,8,0.0,1,0.0,1.0,21016.0
745,2,1,45.0,10,117231.63,3,1.0,1.0,122381.02
572,1,1,35.0,4,152390.26,1,1.0,0.0,128123.66
629,1,0,30.0,2,34013.63,1,1.0,0.0,19570.63
687,1,0,39.0,2,0.0,3,0.0,0.0,188150.6
483,0,0,50.0,9,0.0,2,1.0,1.0,111020.24
690,0,1,36.0,7,101583.11,2,1.0,0.0,123775.15
492,2,0,30.0,10,77168.87,2,0.0,1.0,146700.22
709,2,1,28.0,8,124695.72,2,1.0,0.0,145251.35
705,2,1,44.0,3,105934.96,1,1.0,0.0,82463.69
560,0,0,66.0,9,0.0,1,1.0,1.0,15928.49
611,1,1,46.0,6,0.0,2,1.0,0.0,45886.33
730,1,1,62.0,2,0.0,2,1.0,1.0,186489.95
709,1,0,45.0,2,0.0,2,0.0,1.0,162922.65
544,0,0,21.0,10,161525.96,2,1.0,0.0,9262.77
712,2,0,29.0,7,147199.07,1,1.0,1.0,84932.4
752,2,1,38.0,3,183102.29,1,1.0,1.0,71557.12
648,1,1,46.0,9,127209.0,2,1.0,0.0,77405.95
556,1,1,38.0,8,0.0,2,0.0,0.0,417.41
594,1,0,24.0,0,97378.54,1,1.0,1.0,71405.17
645,2,0,37.0,2,136925.09,2,0.0,1.0,153400.24
557,0,1,33.0,3,54503.55,1,1.0,1.0,371.05
547,2,1,32.0,8,155726.85,1,1.0,0.0,67789.99
701,0,0,39.0,9,0.0,2,0.0,1.0,145894.9
616,0,0,66.0,1,135842.41,1,1.0,0.0,183840.51
605,0,1,52.0,1,63349.75,1,1.0,0.0,108887.44
593,2,0,38.0,4,129499.42,1,1.0,1.0,154071.27
751,1,1,52.0,8,0.0,2,0.0,1.0,179291.85
443,1,1,36.0,6,70438.01,2,0.0,1.0,56937.43
685,0,1,23.0,8,0.0,2,1.0,1.0,112239.03
718,0,1,36.0,9,0.0,1,1.0,0.0,45909.87
538,1,0,49.0,9,141434.04,1,0.0,0.0,173779.25
611,1,0,37.0,4,0.0,2,1.0,0.0,125696.26
668,2,1,37.0,10,152958.29,2,1.0,1.0,159585.61
537,2,0,41.0,3,138306.34,1,1.0,0.0,106761.47
709,1,1,23.0,10,0.0,2,0.0,0.0,129590.18
850,0,1,38.0,1,0.0,2,1.0,1.0,80006.65
745,1,0,31.0,3,124328.84,1,1.0,1.0,140451.52
693,2,0,41.0,9,181461.48,3,1.0,1.0,187929.43
795,1,1,35.0,8,0.0,2,1.0,0.0,167155.36
626,1,1,26.0,8,0.0,2,0.0,0.0,191420.71
487,2,0,61.0,5,110368.03,1,0.0,0.0,11384.45
556,0,0,39.0,9,89588.35,1,1.0,1.0,94898.1
643,0,0,46.0,6,0.0,2,0.0,0.0,106781.59
605,0,0,28.0,6,0.0,2,0.0,0.0,159508.52
756,2,0,60.0,3,115924.89,1,1.0,0.0,93524.19
586,0,0,38.0,2,0.0,2,1.0,0.0,87168.46
535,2,1,40.0,7,111756.5,1,1.0,0.0,8128.32
678,0,0,35.0,4,0.0,1,1.0,0.0,125518.32
596,0,1,39.0,9,0.0,1,1.0,0.0,48963.59
648,0,1,26.0,9,162923.85,1,1.0,0.0,98368.24
492,2,1,39.0,10,124576.65,2,1.0,0.0,148584.61
702,0,1,45.0,0,80793.58,1,1.0,1.0,27474.81
486,2,0,40.0,9,71340.09,1,1.0,0.0,76192.21
568,2,1,40.0,1,99282.63,1,0.0,0.0,134600.94
619,2,1,57.0,3,137946.39,1,1.0,1.0,72467.99
724,2,1,41.0,2,127892.57,2,0.0,1.0,199645.45
548,2,0,33.0,0,101084.36,1,1.0,0.0,42749.85
545,2,0,37.0,8,114754.08,1,1.0,0.0,136050.44
683,0,1,33.0,8,0.0,1,0.0,0.0,73564.44
762,0,0,51.0,3,99286.98,1,0.0,1.0,85578.63
627,2,0,30.0,4,79871.02,2,1.0,0.0,129826.89
516,0,1,35.0,10,104088.59,2,0.0,0.0,119666.0
800,0,0,38.0,2,168190.33,2,1.0,0.0,68052.08
464,2,0,42.0,3,85679.25,1,1.0,1.0,164104.74
626,0,0,35.0,3,0.0,1,0.0,0.0,80190.36
790,0,0,31.0,9,0.0,2,1.0,0.0,84126.75
534,0,0,34.0,7,121551.58,2,1.0,1.0,70179.0
